soll_X;soll_Y;soll_Z;soll_A;soll_B;soll_C;korr_X;korr_Y;korr_Z;korr_A;korr_B;korr_C
0;0;0;-5;0;0;8,8;-17,9;24,25;-5;0;0;
0;0;0;-10;0;0;8,6;-34,0;26,4;-10;0;0;
0;0;0;0;0;0;8,8;-1,6;23,5;0;0;0;
0;0;0;0;-5;0;25,0;-1,7;24,2;0;-5;0;
0;0;0;0;-10;0;41,0;-1,7;26,4;0;-10;0;
