0,1.93469405,0.147592717,0.344174534,1.36245016,-0.240180632,0.53278253,-0.731008785
1,4.05108954,0.370639035,0.293929272,4.02943671,0.0101916101,-0.0836879686,-0.272170436
2,0.0537662179,-0.123595979,-0.17347333,-0.889554517,0.169893211,-0.363257247,0.461348411
3,1.84311465,0.681722037,0.170319207,1.12422934,-0.198496193,0.737215437,-0.515274696
4,2.02808514,0.0998276519,0.416766341,1.35086326,-0.316319967,0.504522488,-0.839311764
5,0.066468398,-0.226414117,-0.42565275,-1.58517059,-0.312137387,0.573058584,0.901553446
6,1.80161691,0.404742926,0.0959534422,1.23150069,-0.191849262,0.700194426,-0.510465495
7,3.10443499,0.407845445,0.820117533,2.12418073,-0.436273966,0.745310321,-1.18861689
8,2.93697152,0.248514109,0.594789542,2.4041265,0.241927963,-0.620369254,-0.895094089
9,3.61408307,0.192110639,0.143998773,3.45212682,0.0456308778,-0.398099359,-0.628110901
10,0.275931218,-0.0764971413,-0.547894284,0.266888926,0.192628804,-0.044237352,0.0742528066
11,0.206039637,-0.25253416,-0.601867081,-0.169155613,0.338547481,-0.155546978,0.538990719
12,1.30176612,0.916648447,-0.0149819553,0.658767879,0.0538070514,-0.467448848,-0.2493334
13,1.30176612,0.916648447,-0.0149819553,0.658767879,0.0538070514,-0.467448848,-0.2493334
14,0.0478768767,-0.105986332,-0.26287185,-1.03392544,-0.180227087,0.34976815,0.578715606
15,0.0185303745,-0.135092374,-0.355746413,-1.93733199,-0.233174978,0.400637906,0.744278006
16,2.46853674,0.252828302,0.727743343,1.49312013,-0.457440127,0.633372292,-1.01283057
17,-0.0152153399,-0.0273439551,-0.085015187,-1.38847359,-0.0181975288,0.0572085241,0.302378889
18,1.79879984,0.498828232,0.278834239,1.29446615,-0.14428661,0.507159963,-0.622622132
19,1.93469405,0.147592717,0.344174534,1.36245016,-0.240180632,0.53278253,-0.731008785
20,3.61408307,0.192110639,0.143998773,3.45212682,0.0456308778,-0.398099359,-0.628110901
21,1.4470682,0.9963549,0.0243359767,0.703033369,-0.0800578431,0.537397889,-0.285952564
22,2.02020812,0.278327383,0.413018174,1.43655457,0.252719123,-0.528116649,-0.738959633
23,4.15276178,0.181347063,0.269534398,3.98431563,-0.0438238084,0.369544074,-0.717392519
24,2.46853674,0.252828302,0.727743343,1.49312013,-0.457440127,0.633372292,-1.01283057
25,0.0230040081,-0.143856838,-0.6285029,-1.73882149,0.32428957,-0.53074986,0.991937067
26,1.87838791,0.0900595369,0.312462829,1.37213141,0.19979671,-0.450823192,-0.728112385
27,0.0230040081,-0.143856838,-0.6285029,-1.73882149,0.32428957,-0.53074986,0.991937067
